$Name,$Type,Mode
team/atl/primary,color,#C8102E
team/atl/secondary,color,#FDB927
team/atl/tertiary,color,#000000
team/bos/primary,color,#008348
team/bos/secondary,color,#000000
team/bos/tertiary,color,#BB9753
team/bkn/primary,color,#000000
team/bkn/secondary,color,#707271
team/cha/primary,color,#00788C
team/cha/secondary,color,#1D1160
team/cha/tertiary,color,#A1A1A4
team/chi/primary,color,#CE1141
team/chi/secondary,color,#000000
team/cle/primary,color,#860038
team/cle/secondary,color,#BC945C
team/cle/tertiary,color,#000000
team/dal/primary,color,#0064B1
team/dal/secondary,color,#00285E
team/dal/tertiary,color,#BBC4CA
team/den/primary,color,#0E2240
team/den/secondary,color,#FEC524
team/den/tertiary,color,#8B2131
team/det/primary,color,#1D428A
team/det/secondary,color,#C8102E
team/det/tertiary,color,#BEC0C2
team/gsw/primary,color,#1D428A
team/gsw/secondary,color,#FDB927
team/hou/primary,color,#CE1141
team/hou/secondary,color,#9EA2A2
team/hou/tertiary,color,#000000
team/ind/primary,color,#0C2340
team/ind/secondary,color,#FFD520
team/ind/tertiary,color,#9EA2A2
team/lac/primary,color,#12173F
team/lac/secondary,color,#C8102E
team/lac/tertiary,color,#4891CE
team/lal/primary,color,#31006F
team/lal/secondary,color,#FDB927
team/lal/tertiary,color,#000000
team/mem/primary,color,#5D76A9
team/mem/secondary,color,#12173F
team/mem/tertiary,color,#707271
team/mia/primary,color,#98002E
team/mia/secondary,color,#000000
team/mia/tertiary,color,#F9A01B
team/mil/primary,color,#00471B
team/mil/secondary,color,#000000
team/mil/tertiary,color,#0077C0
team/min/primary,color,#0C2340
team/min/secondary,color,#236192
team/min/tertiary,color,#78BE20
team/nop/primary,color,#0A2240
team/nop/secondary,color,#8C734B
team/nop/tertiary,color,#CE0E2D
team/nyk/primary,color,#1D428A
team/nyk/secondary,color,#F58426
team/nyk/tertiary,color,#9EA2A2
team/okc/primary,color,#007AC1
team/okc/secondary,color,#EF3B24
team/okc/tertiary,color,#002D62
team/orl/primary,color,#0050B5
team/orl/secondary,color,#000000
team/orl/tertiary,color,#C4CED4
team/phi/primary,color,#1D428A
team/phi/secondary,color,#C8012E
team/phi/tertiary,color,#002B5C
team/phx/primary,color,#1D1160
team/phx/secondary,color,#E56020
team/phx/tertiary,color,#000000
team/por/primary,color,#E03A3E
team/por/secondary,color,#000000
team/sac/primary,color,#5A2D81
team/sac/secondary,color,#000000
team/sac/tertiary,color,#63727A
team/sas/primary,color,#000000
team/sas/secondary,color,#BBC4CA
team/sas/tertiary,color,#4A4A4A
team/tor/primary,color,#CE1141
team/tor/secondary,color,#000000
team/tor/tertiary,color,#393A96
team/uta/primary,color,#4E008E
team/uta/secondary,color,#000000
team/uta/tertiary,color,#DFEDFA
team/was/primary,color,#002B5C
team/was/secondary,color,#E31837
team/was/tertiary,color,#C4CED4
