$Name,$Type,NBA
color.feedback.success.0,color,color.green.0
color.feedback.success.10,color,color.green.10
color.feedback.success.20,color,color.green.20
color.feedback.success.30,color,color.green.30
color.feedback.success.40,color,color.green.40
color.feedback.success.50,color,color.green.50
color.feedback.success.60,color,color.green.60
color.feedback.success.70,color,color.green.70
color.feedback.success.80,color,color.green.80
color.feedback.success.90,color,color.green.90
color.feedback.success.95,color,color.green.95
color.feedback.success.99,color,color.green.99
color.feedback.success.100,color,color.green.100
color.feedback.error.0,color,color.red.0
color.feedback.error.10,color,color.red.10
color.feedback.error.20,color,color.red.20
color.feedback.error.30,color,color.red.30
color.feedback.error.40,color,color.red.40
color.feedback.error.50,color,color.red.50
color.feedback.error.60,color,color.red.60
color.feedback.error.70,color,color.red.70
color.feedback.error.80,color,color.red.80
color.feedback.error.90,color,color.red.90
color.feedback.error.95,color,color.red.95
color.feedback.error.99,color,color.red.99
color.feedback.error.100,color,color.red.100
color.primary.0,color,color.grey.0
color.primary.10,color,color.grey.10
color.primary.20,color,color.grey.20
color.primary.30,color,color.grey.30
color.primary.40,color,color.grey.40
color.primary.50,color,color.grey.50
color.primary.60,color,color.grey.60
color.primary.70,color,color.grey.70
color.primary.80,color,color.grey.80
color.primary.90,color,color.grey.90
color.primary.95,color,color.grey.95
color.primary.99,color,color.grey.99
color.primary.100,color,color.grey.100
color.tertiary.0,color,color.blue.0
color.tertiary.20,color,color.blue.20
color.tertiary.40,color,color.blue.40
color.tertiary.50,color,color.blue.50
color.tertiary.60,color,color.blue.60
color.tertiary.70,color,color.blue.70
color.tertiary.80,color,color.blue.80
color.tertiary.90,color,color.blue.90
color.tertiary.95,color,color.blue.95
color.tertiary.99,color,color.blue.99
color.tertiary.100,color,color.blue.100
color.secondary.0,color,color.yellow.0
color.secondary.10,color,color.yellow.10
color.secondary.20,color,color.yellow.20
color.secondary.30,color,color.yellow.30
color.secondary.40,color,color.yellow.40
color.secondary.50,color,color.yellow.50
color.secondary.60,color,color.yellow.60
color.secondary.70,color,color.yellow.70
color.secondary.80,color,color.yellow.80
color.secondary.90,color,color.yellow.90
color.secondary.95,color,color.yellow.95
color.secondary.99,color,color.yellow.99
color.secondary.100,color,color.yellow.100
color.tertiary.10,color,color.blue.10
color.tertiary.30,color,color.blue.30
color.feedback.warning.0,color,color.orange.0
color.feedback.warning.10,color,color.orange.10
color.feedback.warning.20,color,color.orange.20
color.feedback.warning.30,color,color.orange.30
color.feedback.warning.40,color,color.orange.40
color.feedback.warning.50,color,color.orange.50
color.feedback.warning.60,color,color.orange.60
color.feedback.warning.70,color,color.orange.70
color.feedback.warning.80,color,color.orange.80
color.feedback.warning.90,color,color.orange.90
color.feedback.warning.95,color,color.orange.95
color.feedback.warning.99,color,color.orange.99
color.feedback.warning.100,color,color.orange.100
